Episode,Reward
518.0,-18.98320018725091
519.0,-18.9733681853784
520.0,-18.963634503524617
521.0,-18.95399815848937
522.0,-18.954458176904478
523.0,-18.944913595135432
524.0,-18.91546445918408
525.0,-18.91630981459224
526.0,-18.907146716446317
527.0,-18.928075249281854
528.0,-18.918794496789033
529.0,-18.92960655182114
530.0,-18.90031048630293
531.0,-18.8713073814399
532.0,-18.842594307625504
533.0,-18.83416836454925
534.0,-18.775826680903755
535.0,-18.77806841409472
536.0,-18.770287729953772
537.0,-18.78258485265423
538.0,-18.78475900412769
539.0,-18.786911414086415
540.0,-18.809042299945553
541.0,-18.820951876946097
542.0,-18.812742358176635
543.0,-18.794614934594872
544.0,-18.756668785248923
545.0,-18.729102097396435
546.0,-18.73181107642247
547.0,-18.734492965658248
548.0,-18.697148036001664
549.0,-18.670176555641646
550.0,-18.69347479008523
551.0,-18.696540042184377
552.0,-18.699574641762535
553.0,-18.69257889534491
554.0,-18.65565310639146
555.0,-18.639096575327546
556.0,-18.61270560957427
557.0,-18.606578553478528
558.0,-18.630512767943742
559.0,-18.614207640264308
560.0,-18.608065563861665
561.0,-18.60198490822305
562.0,-18.605965059140818
563.0,-18.609905408549412
564.0,-18.59380635446392
565.0,-18.58786829091928
566.0,-18.551989608010086
567.0,-18.536469711929985
568.0,-18.491105014810685
569.0,-18.46619396466258
570.0,-18.48153202501595
571.0,-18.466716704765794
572.0,-18.45204953771814
573.0,-18.467529042340956
574.0,-18.452853751917548
575.0,-18.478325214398374
576.0,-18.503541962254392
577.0,-18.48850654263185
578.0,-18.493621477205533
579.0,-18.51868526243348
580.0,-18.503498409809147
581.0,-18.498463425711055
582.0,-18.483478791453948
583.0,-18.45864400353941
584.0,-18.444057563504018
585.0,-18.44961698786898
586.0,-18.37512081799029
587.0,-18.351369609810387
588.0,-18.317855913712283
589.0,-18.304677354575162
590.0,-18.311630581029412
591.0,-18.31851427521912
592.0,-18.32532913246693
593.0,-18.32207584114226
594.0,-18.31885508273084
595.0,-18.305666531903533
596.0,-18.262609866584498
597.0,-18.20998376791865
598.0,-18.207883930239465
599.0,-18.20580509093707
600.0,-18.183747040027697
601.0,-18.19190956962742
602.0,-18.17999047393115
603.0,-18.18819056919184
604.0,-18.19630866349992
605.0,-18.18434557686492
606.0,-18.172502121096272
607.0,-18.19077709988531
608.0,-18.198869328886456
609.0,-18.206880635597592
610.0,-18.164811829241618
611.0,-18.163163710949203
612.0,-18.15153207383971
613.0,-18.140016753101314
614.0,-18.1586165855703
615.0,-18.1470304197146
616.0,-18.165560115517454
617.0,-18.18390451436228
618.0,-18.142065469218657
619.0,-18.14064481452647
620.0,-18.119238366381207
621.0,-18.108045982717396
622.0,-18.10696552289022
623.0,-18.09589586766132
624.0,-18.074936908984707
625.0,-18.06418753989486
626.0,-18.053545664495914
627.0,-18.003010207850952
628.0,-17.992980105772443
629.0,-18.00305030471472
630.0,-17.973019801667572
631.0,-17.943289603650896
632.0,-17.973856707614388
633.0,-17.954118140538245
634.0,-17.984576959132863
635.0,-17.984731189541534
636.0,-17.99488387764612
637.0,-17.98493503886966
638.0,-17.995085688480966
639.0,-18.00513483159616
640.0,-17.995083483280197
641.0,-17.985132648447397
642.0,-17.975281321962925
643.0,-17.965528508743297
644.0,-17.98587322365586
645.0,-17.956014491419303
646.0,-17.96645434650511
647.0,-17.936789803040057
648.0,-17.917421905009657
649.0,-17.928247685959562
650.0,-17.93896520909997
651.0,-17.91957555700897
652.0,-17.93037980143888
653.0,-17.941076003424495
654.0,-17.94166524339025
655.0,-17.912248590956345
656.0,-17.923126105046784
657.0,-17.953894843996316
658.0,-17.944355895556356
659.0,-17.954912336600792
660.0,-17.92536321323478
661.0,-17.876109581102433
662.0,-17.87734848529141
663.0,-17.858575000438496
664.0,-17.869989250434113
665.0,-17.901289357929773
666.0,-17.912276464350477
667.0,-17.923153699706972
668.0,-17.903922162709904
669.0,-17.914882941082805
670.0,-17.90573411167198
671.0,-17.856676770555257
672.0,-17.888110002849704
673.0,-17.869228902821206
674.0,-17.84053661379299
675.0,-17.802131247655062
676.0,-17.79410993517851
677.0,-17.776168835826727
678.0,-17.75840714746846
679.0,-17.77082307599378
680.0,-17.733114845233843
681.0,-17.745783696781505
682.0,-17.738325859813692
683.0,-17.740942601215554
684.0,-17.7135331752034
685.0,-17.726397843451366
686.0,-17.69913386501685
687.0,-17.72214252636668
688.0,-17.704921101103015
689.0,-17.677871890091982
690.0,-17.671093171191064
691.0,-17.644382239479153
692.0,-17.637938417084364
693.0,-17.66155903291352
694.0,-17.674943442584386
695.0,-17.62819400815854
696.0,-17.631912068076954
697.0,-17.645592947396185
698.0,-17.629137017922222
699.0,-17.612845647743
700.0,-17.58671719126557
701.0,-17.520850019352913
702.0,-17.525641519159382
703.0,-17.56038510396779
704.0,-17.52478125292811
705.0,-17.53953344039883
706.0,-17.504138105994844
707.0,-17.529096724934895
708.0,-17.503805757685544
709.0,-17.44876770010869
710.0,-17.464280023107605
711.0,-17.46963722287653
712.0,-17.49494085064776
713.0,-17.509991442141285
714.0,-17.504891527719874
715.0,-17.539842612442676
716.0,-17.52444418631825
717.0,-17.51919974445507
718.0,-17.52400774701052
719.0,-17.518767669540416
720.0,-17.54357999284501
721.0,-17.54814419291656
722.0,-17.572662750987394
723.0,-17.55693612347752
724.0,-17.571366762242747
725.0,-17.58565309462032
726.0,-17.539796563674116
727.0,-17.524398598037376
728.0,-17.489154612057003
729.0,-17.484263065936435
730.0,-17.499420435277074
731.0,-17.464426230924303
732.0,-17.43978196861506
733.0,-17.46538414892891
734.0,-17.48073030743962
735.0,-17.495923004365228
736.0,-17.49096377432158
737.0,-17.46605413657836
738.0,-17.491393595212575
739.0,-17.496479659260448
740.0,-17.511514862667845
741.0,-17.52639971404117
742.0,-17.501135716900755
743.0,-17.516124359731748
744.0,-17.51096311613443
745.0,-17.465853484973085
746.0,-17.481194950123356
747.0,-17.506383000622122
748.0,-17.501319170615904
749.0,-17.476305978909743
750.0,-17.441542919120646
751.0,-17.47712748992944
752.0,-17.452356215030143
753.0,-17.45783265287984
754.0,-17.443254326351042
755.0,-17.438821783087533
756.0,-17.37443356525666
757.0,-17.38068922960409
758.0,-17.39688233730805
759.0,-17.38291351393497
760.0,-17.359084378795618
761.0,-17.355493535007664
762.0,-17.311938599657587
763.0,-17.318819213661012
764.0,-17.245631021524403
765.0,-17.26317471130916
766.0,-17.250542964196068
767.0,-17.248037534554108
768.0,-17.24555715920857
769.0,-17.263101587616486
770.0,-17.24047057174032
771.0,-17.278065866022917
772.0,-17.27528520736269
773.0,-17.29253235528906
774.0,-17.27960703173617
775.0,-17.256810961418807
776.0,-17.194242851804617
777.0,-17.23230042328657
778.0,-17.259977419053705
779.0,-17.267377644863167
780.0,-17.284703868414535
781.0,-17.27185682973039
782.0,-17.289138261433084
783.0,-17.286246878818755
784.0,-17.263384410030564
785.0,-17.240750565930256
786.0,-17.21834306027095
787.0,-17.20615962966824
788.0,-17.174098033371557
789.0,-17.172357053037842
790.0,-17.140633482507464
791.0,-17.119227147682388
792.0,-17.068034876205566
793.0,-17.07735452744351
794.0,-17.086580982169075
795.0,-17.035715172347384
796.0,-16.995358020623907
797.0,-17.005404440417667
798.0,-17.00535039601349
799.0,-17.02529689205336
800.0,-17.065043923132826
801.0,-17.0243934839015
802.0,-17.024149549062486
803.0,-16.99390805357186
804.0,-16.993968973036143
805.0,-17.00402928330578
806.0,-16.98398899047272
807.0,-17.004149100567993
808.0,-16.964107609562312
809.0,-16.96446653346669
810.0,-16.944821868132024
811.0,-16.965373649450704
812.0,-16.9657199129562
813.0,-16.966062713826638
814.0,-16.966402086688372
815.0,-16.96673806582149
816.0,-16.997070685163276
817.0,-16.997099978311645
818.0,-16.957128978528527
819.0,-16.957557688743243
820.0,-16.93798211185581
821.0,-16.958602290737254
822.0,-16.92901626782988
823.0,-16.919726105151582
824.0,-16.900528844100066
825.0,-16.901523555659068
826.0,-16.92250832010248
827.0,-16.933283236901456
828.0,-16.933950404532442
829.0,-16.93461090048712
830.0,-16.95526479148225
831.0,-16.95571214356743
832.0,-16.926155022131756
