Episode,Reward
310.0,-20.0233926500922
311.0,-20.03315872359128
312.0,-20.04282713635537
313.0,-20.03239886499182
314.0,-20.002074876341904
315.0,-19.992054127578488
316.0,-19.992133586302703
317.0,-19.962212250439677
318.0,-19.97259012793528
319.0,-19.962864226655928
320.0,-19.923235584389367
321.0,-19.914003228545475
322.0,-19.91486319626002
323.0,-19.90571456429742
324.0,-19.906657418654444
325.0,-19.907590844467897
326.0,-19.87851493602322
327.0,-19.869729786662987
328.0,-19.851032488796356
329.0,-19.842522163908395
330.0,-19.85409694226931
331.0,-19.865555972846618
332.0,-19.856900413118154
333.0,-19.868331408986972
334.0,-19.859648094897103
335.0,-19.86105161394813
336.0,-19.87244109780865
337.0,-19.833716686830563
338.0,-19.80537951996226
339.0,-19.817325724762636
340.0,-19.799152467515007
341.0,-19.781160942839858
342.0,-19.783349333411458
343.0,-19.76551584007734
344.0,-19.75786068167657
345.0,-19.770282074859804
346.0,-19.742579254111206
347.0,-19.755153461570096
348.0,-19.767601926954395
349.0,-19.76992590768485
350.0,-19.712226648608002
351.0,-19.695104382121922
352.0,-19.688153338300705
353.0,-19.671271804917698
354.0,-19.664559086868522
355.0,-19.65791349599984
356.0,-19.66133436103984
357.0,-19.654721017429445
358.0,-19.65817380725515
359.0,-19.6515920691826
360.0,-19.665076148490773
361.0,-19.668425387005865
362.0,-19.671741133135804
363.0,-19.665023721804445
364.0,-19.678373484586402
365.0,-19.671589749740537
366.0,-19.67487385224313
367.0,-19.6881251137207
368.0,-19.681243862583496
369.0,-19.684431423957662
370.0,-19.697587109718086
371.0,-19.700611238620905
372.0,-19.673605126234698
373.0,-19.67686907497235
374.0,-19.680100384222623
375.0,-19.683299380380397
376.0,-19.676466386576596
377.0,-19.66970172271083
378.0,-19.67300470548372
379.0,-19.646274658428883
380.0,-19.659811911844596
381.0,-19.633213792726153
382.0,-19.616881654798892
383.0,-19.600712838250903
384.0,-19.604705709868394
385.0,-19.59865865276971
386.0,-19.60267206624201
387.0,-19.58664534557959
388.0,-19.570778892123794
389.0,-19.56507110320256
390.0,-19.56942039217053
391.0,-19.58372618824883
392.0,-19.557888926366342
393.0,-19.562310037102677
394.0,-19.57668693673165
395.0,-19.570920067364337
396.0,-19.565210866690695
397.0,-19.56955875802379
398.0,-19.57386317044355
399.0,-19.568124538739113
400.0,-19.552443293351722
401.0,-19.536918860418204
402.0,-19.551549671814023
403.0,-19.546034175095883
404.0,-19.530573833344924
405.0,-19.535268095011475
406.0,-19.54991541406136
407.0,-19.564416259920748
408.0,-19.55877209732154
409.0,-19.573184376348326
410.0,-19.587452532584845
411.0,-19.581578007258997
412.0,-19.59576222718641
413.0,-19.589804604914544
414.0,-19.5839065588654
415.0,-19.568067493276747
416.0,-19.54238681834398
417.0,-19.52696295016054
418.0,-19.521693320658937
419.0,-19.51647638745235
420.0,-19.51131162357783
421.0,-19.506198507342052
422.0,-19.471136522268633
423.0,-19.466425157045947
424.0,-19.48176090547549
425.0,-19.466943296420734
426.0,-19.442273863456528
427.0,-19.437851124821965
428.0,-19.443472613573743
429.0,-19.459037887438004
430.0,-19.464447508563623
431.0,-19.47980303347799
432.0,-19.485005003143208
433.0,-19.480154953111775
434.0,-19.49535340358066
435.0,-19.50039986954485
436.0,-19.495395870849404
437.0,-19.51044191214091
438.0,-19.4953374930195
439.0,-19.510384118089306
440.0,-19.475280276908414
441.0,-19.48052747413933
442.0,-19.475722199397936
443.0,-19.47096497740396
444.0,-19.46625532762992
445.0,-19.461592774353623
446.0,-19.476976846610086
447.0,-19.492207078143984
448.0,-19.477285007362543
449.0,-19.462512157288916
450.0,-19.457887035716027
451.0,-19.47330816535887
452.0,-19.448575083705283
453.0,-19.42408933286823
454.0,-19.429848439539548
455.0,-19.41554995514415
456.0,-19.40139445559271
457.0,-19.417380511036782
458.0,-19.423206705926415
459.0,-19.40897463886715
